广东香港,#genre#
广东卫视高清,http://fyld.eatuo.com:9901/tsfile/live/1008_1.m3u8
广东珠江高清,http://fyld.eatuo.com:9901/tsfile/live/1009_1.m3u8
广东新闻,http://fyld.eatuo.com:9901/tsfile/live/1010_1.m3u8
广东公共,http://fyld.eatuo.com:9901/tsfile/live/1011_1.m3u8
广东体育高清,http://fyld.eatuo.com:9901/tsfile/live/1012_1.m3u8
广东经济科教高清,http://fyld.eatuo.com:9901/tsfile/live/1014_1.m3u8
大湾区卫视,http://fyld.eatuo.com:9901/tsfile/live/1015_1.m3u8
广东影视,http://fyld.eatuo.com:9901/tsfile/live/1016_1.m3u8
广东少儿,http://fyld.eatuo.com:9901/tsfile/live/1017_1.m3u8
广州综合,http://iptv.cooltv.top/tv/guangzhou.php?id=gzzh
广州法治,http://iptv.cooltv.top/tv/guangzhou.php?id=gzfz
广州影视,http://iptv.cooltv.top/tv/guangzhou.php?id=gzys
广州新闻,http://iptv.cooltv.top/tv/guangzhou.php?id=gzxw
广州竞赛,http://iptv.cooltv.top/tv/guangzhou.php?id=gzjs
广州南国都市,http://iptv.cooltv.top/tv/guangzhou.php?id=gzsh
翡翠台,http://159.75.85.63:8765/telegram@feiyangdigital-feicui.m3u8
明珠台,http://159.75.85.63:8765/telegram@feiyangdigital-mingzhu.m3u8
凤凰中文,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰资讯,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
凤凰香港,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226251/index.m3u8
有线新闻台,http://2022.stream-link.org/playlist/cable_news
無綫新聞台,http://2022.stream-link.org/playlist/tvb_news
無綫財經·體育·資訊台,http://2022.stream-link.org/playlist/tvb_finance
央视卫视,#genre#
欢笑剧场4K,http://baidu.live.cqccn.com/__cl/cg:live/__c/hxjc_4K/__op/default/__f//index.m3u8
CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CCTV-16 奥林匹克4K,https://live.v1.mk/aishang/cctv164k
爱上4K,https://live.v1.mk/aishang/as4k
4K60PSDR-H264-AAC测试,http://159.75.85.63:5680/d/ad/h264/playad.m3u8
4K60PHLG-HEVC-EAC3测试,http://159.75.85.63:5680/d/ad/playad.m3u8
CCTV-1 综合,https://live.v1.mk/aishang/cctv1hd
CCTV-2 财经,https://live.v1.mk/aishang/cctv2hd
CCTV-3 综艺,https://live.v1.mk/aishang/cctv3hd
CCTV-4 中文国际,https://live.v1.mk/aishang/cctv4hd
CCTV-5 体育,https://live.v1.mk/aishang/cctv5hd
CCTV-5+ 体育赛事,https://live.v1.mk/aishang/cctv5p
CCTV-6 电影,https://live.v1.mk/aishang/cctv6hd
CCTV-7 国防军事,https://live.v1.mk/aishang/cctv7hd
CCTV-8 电视剧,https://live.v1.mk/aishang/cctv8hd
CCTV-9 纪录,https://live.v1.mk/aishang/cctv9hd2
CCTV-10 科教,https://live.v1.mk/aishang/cctv10hd
CCTV-11 戏曲,https://live.v1.mk/aishang/cctv11hd
CCTV-12 社会与法,https://live.v1.mk/aishang/cctv12hd
CCTV-13 新闻,https://live.v1.mk/aishang/cctv13hd
CCTV-14 少儿,https://live.v1.mk/aishang/cctv14hd
CCTV-15 音乐,https://live.v1.mk/aishang/cctv15hd
CCTV-16 奥林匹克,https://live.v1.mk/aishang/cctv16hd
CCTV-17 农业农村,https://live.v1.mk/aishang/cctv17hd
CGTN,https://live.v1.mk/aishang/cgtnhd
湖南卫视,https://live.v1.mk/aishang/hunwshd
浙江卫视,https://live.v1.mk/aishang/zjwshd
东方卫视,https://live.v1.mk/aishang/dfwshd
江苏卫视,https://live.v1.mk/aishang/jswshd
北京卫视,https://live.v1.mk/aishang/bjwshd
深圳卫视,https://live.v1.mk/aishang/szwshd
山东卫视,https://live.v1.mk/aishang/sdwshd
广东卫视,https://live.v1.mk/aishang/gdwshd
安徽卫视,https://live.v1.mk/aishang/ahwshd
东南卫视,https://live.v1.mk/aishang/dnwshd
天津卫视,https://live.v1.mk/aishang/tjwshd
重庆卫视,https://live.v1.mk/aishang/cqws
湖北卫视,https://live.v1.mk/aishang/hubwshd
四川卫视,http://117.184.239.13/liveplay-kk.rtxapp.com/live/program/live/scwshd/8000000/mnf.m3u8
河南卫视,http://117.184.239.13/liveplay-kk.rtxapp.com/live/program/live/hnwshd8m/8000000/mnf.m3u8
陕西卫视,https://live.v1.mk/aishang/sxws
吉林卫视,http://117.184.239.13/liveplay-kk.rtxapp.com/live/program/live/jlwshd8m/8000000/mnf.m3u8
云南卫视,http://117.184.239.13/liveplay-kk.rtxapp.com/live/program/live/ynwshd8m/8000000/mnf.m3u8
广西卫视,http://117.184.239.13/liveplay-kk.rtxapp.com/live/program/live/gxwshd8m/8000000/mnf.m3u8
江西卫视,http://117.184.239.13/liveplay-kk.rtxapp.com/live/program/live/jxws8m/8000000/mnf.m3u8
黑龙江卫视,https://live.v1.mk/aishang/hljwshd
河北卫视,https://live.v1.mk/aishang/hbwshd
青海卫视,http://stream.qhbtv.com/qhws/playlist.m3u8
贵州卫视,https://live.v1.mk/aishang/gzwshd
西藏卫视,https://tv.vtibet.cn/live/EfgSmE4jCTBtvchannel3.m3u8
甘肃卫视,http://117.184.239.13/liveplay-kk.rtxapp.com/live/program/live/gswshd8m/8000000/mnf.m3u8
新疆卫视,https://live.v1.mk/aishang/xjws
厦门卫视,https://live.v1.mk/aishang/xmws
内蒙古卫视,https://live.v1.mk/aishang/nmws
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
海峡卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
兵团卫视,http://test5.btzx.com.cn/live/bt011ws.stream/playlist.m3u8
厦门卫视,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001016000000113818/main.m3u8?IASHttpSessionId=OTT
CHC动作电影,https://live.v1.mk/aishang/chcdzdy
CHC高清电影,https://live.v1.mk/aishang/chcgqdy
CHC家庭影院,https://live.v1.mk/aishang/chcjtyy
中国教育,https://live.v1.mk/aishang/cetv1hd
中国教育2,https://live.v1.mk/aishang/cetv2
中国教育4,https://live.v1.mk/aishang/cetv4
山东教育卫视,https://live.v1.mk/aishang/sdjy
金鹰纪实,https://live.v1.mk/aishang/jyjs
金鹰卡通,https://live.v1.mk/aishang/jykt
卡酷少儿,https://live.v1.mk/aishang/kkse
嘉佳卡通,https://live.v1.mk/aishang/jjkt
新动漫,https://live.v1.mk/aishang/xdm
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
中国台湾,#genre#
HITS频道,http://www.336699.live:1935/blocksix/4gtv-live620.stream/chunklist.m3u8
民视新闻台,https://pull-l3-cny.douyincdn.com/live/304b8e04a437299311112b7f4902c9dd.m3u8
台湾戏剧,http://www.336699.live:1935/blocksix/4gtv-live005.stream/chunklist.m3u8
台湾综艺,http://www.336699.live:1935/blocksix/4gtv-live006.stream/chunklist.m3u8
大爱,http://www.336699.live:1935/blocksix/4gtv-live007.stream/chunklist.m3u8
人间卫视,http://www.336699.live:1935/blocksix/4gtv-live008.stream/chunklist.m3u8
ROLLOR,http://www.336699.live:1935/blocksix/4gtv-live012.stream/chunklist.m3u8
东森财经新闻,http://www.336699.live:1935/blocksix/4gtv-live019.stream/chunklist.m3u8
老电影,http://www.336699.live:1935/blocksix/4gtv-live021.stream/chunklist.m3u8
经典卡通台,http://www.336699.live:1935/blocksix/4gtv-live022.stream/chunklist.m3u8
精选动漫台,http://www.336699.live:1935/blocksix/4gtv-live024.stream/chunklist.m3u8
影迷纪实台,http://www.336699.live:1935/blocksix/4gtv-live023.stream/chunklist.m3u8
历史,http://www.336699.live:1935/blocksix/4gtv-live026.stream/chunklist.m3u8
MTV,http://www.336699.live:1935/blocksix/4gtv-live025.stream/chunklist.m3u8
CI罪案现场,http://www.336699.live:1935/blocksix/4gtv-live027.stream/chunklist.m3u8
Lifetime,http://www.336699.live:1935/blocksix/4gtv-live029.stream/chunklist.m3u8
LIVE互动英语,http://www.336699.live:1935/blocksix/4gtv-live030.stream/chunklist.m3u8
